["014867325", 22]
["014867532", 22]
["014872365", 14]
["014872536", 18]
["014872653", 18]
["014873256", 26]
["014873562", 20]
["014873625", 24]
["014875263", 22]
["014875326", 18]
["014875632", 24]
["014876235", 24]
["014876352", 18]
["014876523", 22]
["015234687", 20]
["015234768", 22]
["015234876", 26]
["015236478", 18]
["015236784", 22]
["015236847", 24]
["015237486", 18]
["015237648", 20]
["015237864", 24]
["015238467", 14]
["015238674", 16]
["015238746", 18]
["015243678", 14]
["015243786", 22]
["015243867", 24]
["015246387", 20]
["015246738", 18]
["015246873", 26]
["015247368", 16]
["015247683", 18]
["015247836", 22]
["015248376", 18]
["015248637", 16]
["015248763", 20]
["015263487", 24]
["015263748", 18]
["015263874", 24]
["015264378", 18]
["015264783", 20]
["015264837", 22]
["015267384", 22]
["015267438", 18]
["015267843", 22]
["015268347", 16]
["015268473", 22]
["015268734", 20]
["015273468", 16]
["015273684", 22]
["015273846", 26]
["015274386", 20]
["015274638", 20]
["015274863", 24]
["015276348", 20]
["015276483", 22]
["015276834", 24]
["015278364", 18]
["015278436", 20]
["015278643", 22]
["015283476", 24]
["015283647", 22]
["015283764", 24]
["015284367", 16]
["015284673", 20]
["015284736", 20]
["015286374", 22]
["015286437", 22]
["015286743", 24]
["015287346", 18]
["015287463", 20]
["015287634", 22]
["015324678", 6]
["015324786", 16]
["015324867", 20]
["015326487", 16]
["015326748", 12]
["015326874", 18]
["015327468", 12]
["015327684", 10]
["015327846", 18]
["015328476", 14]
["015328647", 8]
["015328764", 14]
["015342687", 20]
["015342768", 20]
["015342876", 24]
["015346278", 18]
["015346782", 18]
["015346827", 22]
["015347286", 20]
["015347628", 18]
["015347862", 22]
["015348267", 14]
["015348672", 16]
["015348726", 18]
["015362478", 16]
["015362784", 14]
["015362847", 18]
["015364287", 20]
["015364728", 12]
["015364872", 18]
["015367248", 18]
["015367482", 18]
["015367824", 16]
["015368274", 20]
["015368427", 14]
["015368742", 16]
["015372486", 18]
["015372648", 18]
["015372864", 18]
["015374268", 12]
["015374682", 12]
["015374826", 22]
["015376284", 18]
["015376428", 18]
["015376842", 20]
["015378246", 18]
["015378462", 20]
["015378624", 16]
["015382467", 14]
["015382674", 16]
["015382746", 18]
["015384276", 22]
["015384627", 14]
["015384762", 18]
["015386247", 22]
["015386472", 20]
["015386724", 20]
["015387264", 16]
["015387426", 20]
["015387642", 18]
["015423687", 18]
["015423768", 18]
["015423876", 22]
["015426378", 14]
["015426783", 20]
["015426837", 20]
["015427386", 14]
["015427638", 16]
["015427863", 20]
["015428367", 10]
["015428673", 16]
["015428736", 16]
["015432678", 18]
["015432786", 22]
["015432867", 22]
["015436287", 26]
["015436728", 20]
["015436872", 24]
["015437268", 22]
["015437682", 20]
["015437826", 20]
["015438276", 22]
["015438627", 16]
["015438762", 22]
["015462387", 24]
["015462738", 20]
["015462873", 26]
["015463278", 22]
["015463782", 18]
["015463827", 22]
["015467283", 22]
["015467328", 22]
["015467832", 24]
["015468237", 16]
["015468372", 18]
["015468723", 22]
["015472368", 20]
["015472683", 22]
["015472836", 22]
["015473286", 26]
["015473628", 20]
["015473862", 22]
["015476238", 20]
["015476382", 22]
["015476823", 24]
["015478263", 22]
["015478326", 18]
["015478632", 22]
["015482376", 22]
["015482637", 18]
["015482763", 26]
["015483267", 24]
["015483672", 20]
["015483726", 24]
["015486273", 24]
["015486327", 22]
["015486732", 24]
["015487236", 18]
["015487362", 20]
["015487623", 22]
["015623478", 14]
["015623784", 12]
["015623847", 16]
["015624387", 20]
["015624738", 10]
["015624873", 18]
["015627348", 16]
["015627483", 16]
["015627834", 14]
["015628374", 16]
["015628437", 12]
["015628743", 14]
["015632487", 24]
["015632748", 20]
["015632874", 22]
["015634278", 16]
["015634782", 14]
["015634827", 18]
["015637284", 20]
["015637428", 22]
["015637842", 20]
["015638247", 18]
["015638472", 18]
["015638724", 20]
["015642378", 20]
["015642783", 18]
["015642837", 22]
["015643287", 22]
["015643728", 16]
["015643872", 22]
["015647238", 20]
["015647382", 22]
["015647823", 20]
["015648273", 18]
["015648327", 18]
["015648732", 20]
["015672384", 18]
["015672438", 22]
["015672843", 20]
["015673248", 20]
["015673482", 20]
["015673824", 18]
["015674283", 22]
["015674328", 16]
["015674832", 18]
["015678234", 20]
["015678342", 20]
["015678423", 20]
["015682347", 18]
["015682473", 22]
["015682734", 20]
["015683274", 18]
["015683427", 22]
["015683742", 20]
["015684237", 18]
["015684372", 20]
["015684723", 18]
["015687243", 20]
["015687324", 20]
["015687432", 22]
["015723486", 18]
["015723648", 18]
["015723864", 16]
["015724368", 10]
["015724683", 20]
["015724836", 20]
["015726384", 14]
["015726438", 16]
["015726843", 18]
["015728346", 14]
["015728463", 18]
["015728634", 18]
["015732468", 20]
["015732684", 18]
["015732846", 22]
["015734286", 24]
["015734628", 16]
["015734862", 20]
["015736248", 22]
["015736482", 20]
["015736824", 20]
["015738264", 22]
["015738426", 20]
["015738642", 20]
["015742386", 22]
["015742638", 24]
["015742863", 22]
["015743268", 18]
["015743682", 20]
["015743826", 24]
["015746283", 22]
["015746328", 20]
["015746832", 24]
["015748236", 18]
["015748362", 20]
["015748623", 22]
["015762348", 22]
["015762483", 22]
["015762834", 22]
["015763284", 22]
["015763428", 20]
["015763842", 22]
["015764238", 16]
["015764382", 16]
["015764823", 20]
["015768243", 22]
["015768324", 22]
["015768432", 24]
["015782364", 20]
["015782436", 22]
["015782643", 24]
["015783246", 24]
["015783462", 24]
["015783624", 22]
["015784263", 22]
["015784326", 18]
["015784632", 22]
["015786234", 20]
["015786342", 22]
["015786423", 24]
["015823467", 20]
["015823674", 16]
["015823746", 22]
["015824376", 18]
["015824637", 20]
["015824763", 22]
["015826347", 18]
["015826473", 20]
["015826734", 18]
["015827364", 14]
["015827436", 16]
["015827643", 18]
["015832476", 26]
["015832647", 22]
["015832764", 26]
["015834267", 24]
["015834672", 20]
["015834726", 24]
["015836274", 24]
["015836427", 24]
["015836742", 24]
["015837246", 22]
["015837462", 24]
["015837624", 20]
["015842367", 18]
["015842673", 22]
["015842736", 22]
["015843276", 26]
["015843627", 22]
["015843762", 24]
["015846237", 24]
["015846372", 22]
["015846723", 26]
["015847263", 22]
["015847326", 22]
["015847632", 24]
["015862374", 22]
["015862437", 22]
["015862743", 24]
["015863247", 26]
["015863472", 24]
["015863724", 22]
["015864273", 24]
["015864327", 20]
["015864732", 22]
["015867234", 20]
["015867342", 22]
["015867423", 24]
["015872346", 20]
["015872463", 24]
["015872634", 24]
["015873264", 22]
["015873426", 26]
["015873642", 24]
["015874236", 22]
["015874362", 18]
["015874623", 22]
["015876243", 24]
["015876324", 22]
["015876432", 26]
["016234578", 26]
["016234785", 20]
["016234857", 26]
["016235487", 24]
["016235748", 18]
["016235874", 26]
["016237458", 26]
["016237584", 28]
["016237845", 24]
["016238475", 26]
["016238547", 24]
["016238754", 22]
["016243587", 28]
["016243758", 24]
["016243875", 26]
["016245378", 20]
["016245783", 22]
["016245837", 26]
["016247385", 22]
["016247538", 26]
["016247853", 26]
["016248357", 24]
["016248573", 24]
["016248735", 24]
["016253478", 24]
["016253784", 24]
["016253847", 28]
["016254387", 24]
["016254738", 22]
["016254873", 26]
["016257348", 24]
["016257483", 26]
["016257834", 26]
